"Week Ending Date","Geographic aggregation","Hospital Reporting Days","Percent Hospital Reporting Days","Number Hospitals Reporting Adult COVID-19 Admissions","Number Hospitals Reporting Pediatric COVID-19 Admissions","Number Hospitals Reporting Influenza Admissions","Number Hospitals Reporting Prevalent Influenza Hospitalizations","Number Hospitals Reporting Hospitalized Influenza ICU Patients","Number Hospitals Reporting Inpatient Beds","Number Hospitals Reporting ICU Beds","Number Hospitals Reporting Inpatient Beds Occupied","Number Hospitals Reporting ICU Beds Occupied","Number Hospitals Reporting Percent Inpatient Bed Occupancy","Number Hospitals Reporting Percent ICU Bed Occupancy","Number Hospitals Reporting Percent COVID-19 Inpatient Bed Occupancy","Number Hospitals Reporting Percent Influenza Inpatient Bed Occupancy","Number Hospitals Reporting Percent COVID-19 ICU Bed Occupancy","Number Hospitals Reporting Percent Influenza ICU Bed Occupancy","Number Hospitals Reporting Total COVID-19 Admissions","Number Hospitals Reporting Prevalent COVID-19 Hospitalizations","Number Hospitals Reporting Hospitalized COVID-19 ICU Patients","Weekly Average Adult COVID-19 Admissions","Weekly Total Adult COVID-19 Admissions","Weekly Average Pediatric COVID-19 Admissions","Weekly Total Pediatric COVID-19 Admissions","Weekly Average COVID-19 Admissions","Weekly Total COVID-19 Admissions","Weekly Average Influenza Admissions","Weekly Total Influenza Admissions","Weekly Average Prevalent COVID-19 Hospitalizations","Weekly Average Prevalent Influenza Hospitalizations","Weekly Average Hospitalized COVID-19 ICU Patients","Weekly Average Hospitalized Influenza ICU Patients","Weekly Average Inpatient Beds","Weekly Average ICU Beds","Weekly Average Inpatient Beds Occupied","Weekly Average ICU Beds Occupied","Weekly Average Percent Inpatient Bed Occupancy","Weekly Average Percent ICU Bed Occupancy","Weekly Average Percent COVID-19 Inpatient Bed Occupancy","Weekly Average Percent Influenza Inpatient Bed Occupancy","Weekly Average Percent COVID-19 ICU Bed Occupancy","Weekly Average Percent Influenza ICU Bed Occupancy","Percent Adult COVID-19 Admissions","Percent Pediatric COVID-19 Admissions","Percent Hospitals Reporting Adult COVID-19 Admissions","Percent Hospitals Reporting Pediatric COVID-19 Admissions","Percent Hospitals Reporting Influenza Admissions","Percent Hospitals Reporting Prevalent Influenza Hospitalizations","Percent Hospitals Reporting Hospitalized Influenza ICU Patients","Percent Hospitals Reporting Inpatient Beds","Percent Hospitals Reporting ICU Beds","Percent Hospitals Reporting Inpatient Beds Occupied","Percent Hospitals Reporting ICU Beds Occupied","Percent Hospitals Reporting Percent Inpatient Bed Occupancy","Percent Hospitals Reporting Percent ICU Bed Occupancy","Percent Hospitals Reporting Percent COVID-19 Inpatient Bed Occupancy","Percent Hospitals Reporting Percent Influenza Inpatient Bed Occupancy","Percent Hospitals Reporting Percent COVID-19 ICU Bed Occupancy","Percent Hospitals Reporting Percent Influenza ICU Bed Occupancy","Percent Hospitals Reporting Total COVID-19 Admissions","Percent Hospitals Reporting Prevalent COVID-19 Hospitalizations","Percent Hospitals Reporting Hospitalized COVID-19 ICU Patients","Absolute Change in the Percent Hospitals Reporting Adult COVID-19 Admissions from Prior Week","Absolute Change in the Percent Hospitals Reporting Pediatric COVID-19 Admissions from Prior Week","Absolute Change in the Percent Hospitals Reporting Influenza Admissions from Prior Week ","Absolute Change in the Percent Hospitals Reporting Prevalent Influenza Hospitalizations from Prior Week ","Absolute Change in the Percent Hospitals Reporting Hospitalized Influenza ICU Patients from Prior Week ","Absolute Change in the Percent Hospitals Reporting Inpatient Beds from Prior Week ","Absolute Change in the Percent Hospitals Reporting ICU Beds from Prior Week ","Absolute Change in the Percent Hospitals Reporting Inpatient Beds Occupied from Prior Week ","Absolute Change in the Percent Hospitals Reporting ICU Beds Occupied from Prior Week ","Absolute Change in the Percent Hospitals Reporting Percent Inpatient Bed Occupancy from Prior Week ","Absolute Change in the Percent Hospitals Reporting Percent ICU Bed Occupancy from Prior Week ","Absolute Change in the Percent Hospitals Reporting Percent COVID-19 Inpatient Bed Occupancy from Prior Week ","Absolute Change in the Percent Hospitals Reporting Percent Influenza Inpatient Bed Occupancy from Prior Week ","Absolute Change in the Percent Hospitals Reporting Percent COVID-19 ICU Bed Occupancy from Prior Week ","Absolute Change in the Percent Hospitals Reporting Percent Influenza ICU Bed Occupancy from Prior Week ","Absolute Change in the Percent Hospitals Reporting Total COVID-19 Admissions from Prior Week ","Absolute Change in the Percent Hospitals Reporting Prevalent COVID-19 Hospitalizations from Prior Week ","Absolute Change in the Percent Hospitals Reporting Hospitalized COVID-19 ICU Patients from Prior Week "
"2023-01-07","MI","953","97.94%","138","138","138","138","138","138","138","138","138","138","138","138","138","138","138","138","138","138","149.14","1,044","6.57","46","155.71","1,090","102","714","1,208.86","698.71","149.71","103.57","19,672.43","2,908.86","16,030.86","2,223.86","81.48%","76.44%","6.14%","3.55%","5.14%","3.56%","95.78%","4.22%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","0.72","0.72","0.72","0.72","0.72","0.72","0.72","0.72","0.72","0.72","0.72","0.72","0.72","0.72","0.72","0.72","0.72","0.72"
"2023-01-14","MI","951","97.74%","137","137","137","137","137","137","137","137","137","137","137","137","137","137","137","137","137","137","121.86","853","5.57","39","127.43","892","45.71","320","1,010.71","402.57","133.71","70.43","19,439","2,886.43","15,941.14","2,181.86","81.97%","75.56%","5.20%","2.08%","4.62%","2.44%","95.63%","4.37%","98.56%","98.56%","98.56%","98.56%","98.56%","98.56%","98.56%","98.56%","98.56%","98.56%","98.56%","98.56%","98.56%","98.56%","98.56%","98.56%","98.56%","98.56%","-0.72","-0.72","-0.72","-0.72","-0.72","-0.72","-0.72","-0.72","-0.72","-0.72","-0.72","-0.72","-0.72","-0.72","-0.72","-0.72","-0.72","-0.72"
"2023-01-21","MI","948","97.43%","136","136","136","136","136","136","136","136","136","136","136","136","136","136","136","136","136","136","93","651","4","28","97","679","24.43","171","870.43","224.14","105.86","38.71","19,312.43","2,865.57","15,630.43","2,144","80.90%","74.76%","4.50%","1.16%","3.70%","1.35%","95.88%","4.12%","97.84%","97.84%","97.84%","97.84%","97.84%","97.84%","97.84%","97.84%","97.84%","97.84%","97.84%","97.84%","97.84%","97.84%","97.84%","97.84%","97.84%","97.84%","-0.72","-0.72","-0.72","-0.72","-0.72","-0.72","-0.72","-0.72","-0.72","-0.72","-0.72","-0.72","-0.72","-0.72","-0.72","-0.72","-0.72","-0.72"
"2023-01-28","MI","943","96.92%","136","136","136","136","136","136","136","136","136","136","136","136","136","136","136","136","136","136","84.86","594","4.43","31","89.29","625","12","84","688","124.71","86.71","15.71","19,280.86","2,861.57","15,431.14","2,068.14","80.00%","72.24%","3.57%","0.65%","3.03%","0.55%","95.04%","4.96%","97.84%","97.84%","97.84%","97.84%","97.84%","97.84%","97.84%","97.84%","97.84%","97.84%","97.84%","97.84%","97.84%","97.84%","97.84%","97.84%","97.84%","97.84%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2023-02-04","MI","948","97.43%","137","137","137","137","137","137","137","137","137","137","137","137","137","137","137","137","137","137","80.43","563","3.29","23","83.71","586","12.43","87","599.14","66.57","86.29","7.71","19,326.57","2,857.29","15,016.43","2,033.71","77.66%","71.13%","3.10%","0.34%","3.02%","0.27%","96.08%","3.92%","98.56%","98.56%","98.56%","98.56%","98.56%","98.56%","98.56%","98.56%","98.56%","98.56%","98.56%","98.56%","98.56%","98.56%","98.56%","98.56%","98.56%","98.56%","0.72","0.72","0.72","0.72","0.72","0.72","0.72","0.72","0.72","0.72","0.72","0.72","0.72","0.72","0.72","0.72","0.72","0.72"
"2023-02-11","MI","955","98.15%","138","138","138","138","138","138","138","138","138","138","138","138","138","138","138","138","138","138","80.29","562","9.29","65","89.57","627","8","56","586.86","47.86","79.71","7.57","19,545.57","2,873.43","15,356.14","2,090.71","78.52%","72.71%","3.00%","0.25%","2.78%","0.26%","89.63%","10.37%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","0.72","0.72","0.72","0.72","0.72","0.72","0.72","0.72","0.72","0.72","0.72","0.72","0.72","0.72","0.72","0.72","0.72","0.72"
"2023-02-18","MI","961","98.77%","138","138","138","138","138","138","138","138","138","138","138","138","138","138","138","138","138","138","84.57","592","6.14","43","90.71","635","8.57","60","588.57","40.57","69.57","7.57","19,746.29","2,906.86","15,425.29","2,099.86","78.11%","72.23%","2.98%","0.21%","2.39%","0.26%","93.23%","6.77%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2023-02-25","MI","951","97.74%","138","138","138","138","138","138","138","138","138","138","138","138","138","138","138","138","138","138","88.86","622","6.14","43","95","665","7.71","54","623.86","41.43","66.29","8.14","19,332","2,863.57","15,132.86","2,046","78.23%","71.40%","3.22%","0.21%","2.31%","0.29%","93.53%","6.47%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2023-03-04","MI","959","98.56%","138","138","138","138","138","138","138","138","138","138","138","138","138","138","138","138","138","138","98.86","692","3.14","22","102","714","7.29","51","660.43","42.71","73.14","6.71","19,669.57","2,905.71","15,510.29","2,098.71","78.84%","72.22%","3.36%","0.22%","2.52%","0.23%","96.92%","3.08%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2023-03-11","MI","965","99.18%","139","139","139","139","139","139","139","139","139","139","139","139","139","139","139","139","139","139","90.71","635","3.57","25","94.29","660","5.14","36","607.29","27.14","76.14","2.43","19,741.71","2,916.57","15,554.14","2,111.43","78.78%","72.39%","3.08%","0.14%","2.61%","0.08%","96.21%","3.79%","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%","0.72","0.72","0.72","0.72","0.72","0.72","0.72","0.72","0.72","0.72","0.72","0.72","0.72","0.72","0.72","0.72","0.72","0.72"
"2023-03-18","MI","963","98.97%","138","138","138","138","138","138","138","138","138","138","138","138","138","138","138","138","138","138","94","658","3","21","97","679","4.71","33","634.43","27","71.57","4.86","19,856.43","2,914.71","15,536.14","2,113.14","78.22%","72.49%","3.20%","0.14%","2.45%","0.17%","96.91%","3.09%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","-0.72","-0.72","-0.72","-0.72","-0.72","-0.72","-0.72","-0.72","-0.72","-0.72","-0.72","-0.72","-0.72","-0.72","-0.72","-0.72","-0.72","-0.72"
"2023-03-25","MI","960","98.66%","138","138","138","138","138","138","138","138","138","138","138","138","138","138","138","138","138","138","92.14","645","1.86","13","94","658","3","21","627.57","18.86","82","4.57","19,866.14","2,928.86","15,629.14","2,127.86","78.66%","72.64%","3.16%","0.10%","2.80%","0.16%","98.02%","1.98%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2023-04-01","MI","961","98.77%","138","138","138","138","138","138","138","138","138","138","138","138","138","138","138","138","138","138","89.86","629","4.71","33","94.57","662","2.43","17","646.43","13","82.57","2.29","19,838.57","2,941.57","15,296.86","2,127","77.10%","72.31%","3.26%","0.07%","2.81%","0.08%","95.02%","4.98%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2023-04-08","MI","962","98.87%","138","138","138","138","138","138","138","138","138","138","138","138","138","138","138","138","138","138","79.43","556","1.43","10","80.86","566","3.57","25","602.43","16.43","73.14","3.14","19,849.29","2,893.14","15,203","2,106.43","76.58%","72.81%","3.03%","0.08%","2.53%","0.11%","98.23%","1.77%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2023-04-15","MI","964","99.08%","138","138","138","138","138","138","138","138","138","138","138","138","138","138","138","138","138","138","65.71","460","1.71","12","67.43","472","2.29","16","498.29","17.29","65","1.43","19,794.29","2,895.43","15,189.71","2,115.43","76.72%","73.05%","2.52%","0.09%","2.25%","0.05%","97.46%","2.54%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2023-04-22","MI","969","99.59%","139","139","139","139","139","139","139","139","139","139","139","139","139","139","139","139","139","139","63","441","2.14","15","65.14","456","1.14","8","445.29","11.71","67.43","0.57","19,853.43","2,881.43","15,413.14","2,103.43","77.63%","73.00%","2.24%","0.06%","2.34%","0.02%","96.71%","3.29%","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%","0.72","0.72","0.72","0.72","0.72","0.72","0.72","0.72","0.72","0.72","0.72","0.72","0.72","0.72","0.72","0.72","0.72","0.72"
"2023-04-29","MI","966","99.28%","139","139","139","139","139","139","139","139","139","139","139","139","139","139","139","139","139","139","49.43","346","1.14","8","50.57","354","1","7","368.57","11.14","58.57","2.14","19,690.29","2,870.86","14,963.29","2,058.14","75.99%","71.69%","1.87%","0.06%","2.04%","0.07%","97.74%","2.26%","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2023-05-06","MI","970","99.69%","139","139","139","139","139","139","139","139","139","139","139","139","139","139","139","139","139","139","45.57","319","2.43","17","48","336","2.43","17","342.71","11.29","47.71","2.14","19,948.14","2,884.14","15,236.29","2,076.14","76.37%","71.97%","1.72%","0.06%","1.66%","0.07%","94.94%","5.06%","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2023-05-13","MI","969","99.59%","139","139","139","139","139","139","139","139","139","139","139","139","139","139","139","139","139","139","41.71","292","4.86","34","46.57","326","2.43","17","306.71","16","33.14","3.29","19,828.71","2,872.43","15,150.71","2,065.86","76.39%","71.91%","1.55%","0.08%","1.15%","0.11%","89.57%","10.43%","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2023-05-20","MI","970","99.69%","139","139","139","139","139","139","139","139","139","139","139","139","139","139","139","139","139","139","36.71","257","0.71","5","37.43","262","1.86","13","268.43","17.57","35.57","2","19,785.14","2,869.14","15,078","2,055.43","76.20%","71.64%","1.36%","0.09%","1.24%","0.07%","98.09%","1.91%","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2023-05-27","MI","971","99.79%","139","139","139","139","139","139","139","139","139","139","139","139","139","139","139","139","139","139","30.57","214","0.29","2","30.86","216","2.57","18","231.71","17.43","37.71","2","19,818.43","2,880","15,078.29","2,083.86","76.06%","72.35%","1.17%","0.09%","1.31%","0.07%","99.07%","0.93%","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2023-06-03","MI","970","99.69%","139","139","139","139","139","139","139","139","139","139","139","139","139","139","139","139","139","139","28.43","199","0.29","2","28.71","201","2","14","209.71","26.29","28.71","0.71","19,718.43","2,857.71","14,915.86","2,078.29","75.62%","72.72%","1.06%","0.13%","1.00%","0.02%","99.00%","1.00%","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2023-06-10","MI","966","99.28%","138","138","138","138","138","138","138","138","138","138","138","138","138","138","138","138","138","138","21.29","149","0.43","3","21.71","152","2","14","178.71","43.14","23.57","1.71","19,824.29","2,869.86","15,245.14","2,094.86","76.89%","73.00%","0.90%","0.22%","0.82%","0.06%","98.03%","1.97%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","-0.72","-0.72","-0.72","-0.72","-0.72","-0.72","-0.72","-0.72","-0.72","-0.72","-0.72","-0.72","-0.72","-0.72","-0.72","-0.72","-0.72","-0.72"
"2023-06-17","MI","951","97.74%","139","139","139","139","139","139","139","139","139","139","139","139","139","139","139","139","139","139","20.43","143","0.86","6","21.29","149","1.57","11","159.86","37.71","22.57","2.43","19,603.29","2,839.57","15,033.29","2,059.71","76.68%","72.53%","0.82%","0.19%","0.79%","0.09%","95.97%","4.03%","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%","0.72","0.72","0.72","0.72","0.72","0.72","0.72","0.72","0.72","0.72","0.72","0.72","0.72","0.72","0.72","0.72","0.72","0.72"
"2023-06-24","MI","969","99.59%","139","139","139","139","139","139","139","139","139","139","139","139","139","139","139","139","139","139","22","154","0.71","5","22.71","159","2","14","140.29","40.43","24","1.29","19,701.86","2,872.71","15,136.71","2,069.29","76.82%","72.02%","0.71%","0.21%","0.84%","0.05%","96.86%","3.14%","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
